"" 0 "ns=1;i=292
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=208" HorizontalActuatorSeq 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 85 "ns=1;i=207
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=207" Drive4DCVoltage 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 86 "ns=1;i=206
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=206" Drive4OutputCurrent 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 87 "ns=1;i=205
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=205" Drive4CommandedSpeed 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 88 "ns=1;i=204
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=204" Drive4DCVoltageMax 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 89 "ns=1;i=203
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=203" Drive4ActualSpeed 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 90 "ns=1;i=202
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=202" Drive4LifetimeTimer 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 91 "ns=1;i=201
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=201" Drive4FaultCode 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 92 "ns=1;i=200
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=200" Drive3DCVoltage 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 93 "ns=1;i=199
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=199" Drive3OutputCurrent 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 94 "ns=1;i=198
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=198" Drive3CommandedSpeed 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 95 "ns=1;i=197
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=197" Drive3DCVoltageMax 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 96 "ns=1;i=196
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=196" Drive3ActualSpeed 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 97 "ns=1;i=195
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=195" Drive3LifetimeTimer 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 98 "ns=1;i=194
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=194" Drive3FaultCode 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 99 "ns=1;i=193
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=193" Drive2DCVoltage 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 100 "ns=1;i=192
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=192" Drive2OutputCurrent 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 101 "ns=1;i=191
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=191" Drive2CommandedSpeed 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 102 "ns=1;i=190
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=190" Drive2DCVoltageMax 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 103 "ns=1;i=189
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=189" Drive2ActualSpeed 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 104 "ns=1;i=188
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=188" Drive2LifetimeTimer 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 105 "ns=1;i=187
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=187" Drive2FaultCode 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 106 "ns=1;i=186
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=186" Drive1DCVoltage 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 107 "ns=1;i=185
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=185" Drive1OutputCurrent 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 108 "ns=1;i=184
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=184" Drive1CommandedSpeed 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 109 "ns=1;i=183
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=183" Drive1DCVoltageMax 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 110 "ns=1;i=182
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=182" Drive1ActualSpeed 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 111 "ns=1;i=181
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=181" Drive1LifetimeTimer 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 112 "ns=1;i=180
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=180" Drive1FaultCode 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 113 "ns=1;i=179
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=179" Drive4LifetimeTimerHistorical 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 114 "ns=1;i=178
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=178" Drive3LifetimeTimerHistorical 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 115 "ns=1;i=177
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=177" Drive2LifetimeTimerHistorical 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 116 "ns=1;i=176
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=176" Drive1LifetimeTimerHistorical 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 117 "ns=1;i=175
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=175" PLCClockSecond 0 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 118 "ns=1;i=174
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=174" PLCClockMinute 0 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 119 "ns=1;i=173
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=173" PLCClockHour 0 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 120 "ns=1;i=172
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=172" PLCClockDay 0 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 121 "ns=1;i=171
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=171" PLCClockMount 0 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 122 "ns=1;i=170
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=170" PLCClockYear 0 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 123 "ns=1;i=169
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=169" SystemMode 0 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 124 "ns=1;i=168
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=168" PLCVersion 100 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 125 "ns=1;i=167
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=167" ActualSlotID2 54 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 126 "ns=1;i=166
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=166" ActualSlotID1 54 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 127 "ns=1;i=165
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=165" SlotPointer 0 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 128 "ns=1;i=164
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=164" SlotRemainder 0 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 129 "ns=1;i=163
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=163" SlotHeader 0 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 130 "ns=1;i=162
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=162" ActualSlotID2Position 15758 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 131 "ns=1;i=161
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=161" ActualSlotID1Position 15758 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 132 "ns=1;i=160
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=160" CalculatedFrameID2 0 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 133 "ns=1;i=159
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=159" CalculatedFrameID1 11 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 134 "ns=1;i=158
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=158" MaxSpeedInHz 7840 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 135 "ns=1;i=157
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=157" MaxSpeedInHzReal 7840.0 Float "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 136 "ns=1;i=156
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=156" CalculatedFramePosStation2 0 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 137 "ns=1;i=155
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=155" CalculatedFramePosStation1 0 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 138 "ns=1;i=154
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=154" CalculatedFrameIDStation2 0 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 139 "ns=1;i=153
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=153" CalculatedFrameIDStation1 0 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 140 "ns=1;i=152
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=152" PulsesPerFrameW 1440 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 141 "ns=1;i=151
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=151" TotalSlots 100 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 142 "ns=1;i=150
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=150" FirstSlot 1 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 143 "ns=1;i=149
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=149" CalculatedTargetPosStation2 0 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 144 "ns=1;i=148
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=148" CalculatedTargetPosStation1 15840 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 145 "ns=1;i=147
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=147" EncoderInTemp 15758 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 146 "ns=1;i=146
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=146" CreepOffsetReal 1440.0 Float "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 147 "ns=1;i=145
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=145" CreepOffset 1440 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 148 "ns=1;i=144
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=144" PulsesPerInches 120.0 Float "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 149 "ns=1;i=143
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=143" PulsesPerFrameReal 1440.0 Float "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 150 "ns=1;i=142
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=142" CreepSpeedInHz 1470 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 151 "ns=1;i=141
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=141" RunSpeedInHz 5390 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 152 "ns=1;i=140
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=140" JogSpeedInHz 5390 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 153 "ns=1;i=139
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=139" CreepSpeedInHzReal 1470.0001 Float "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 154 "ns=1;i=138
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=138" RunSpeedInHzReal 5390.0 Float "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 155 "ns=1;i=137
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=137" JogSpeedInHzReal 5390.0 Float "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 156 "ns=1;i=136
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=136" FrameID 0 Int16 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 157 "ns=1;i=135
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=135" TargetPulse 15840 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 158 "ns=1;i=134
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=134" ActualSlotID2DINT 54 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 159 "ns=1;i=133
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=133" ActualSlotID1DINT 54 Int32 "05/28/26 21:56:12.0770000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 160 "ns=1;i=132
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=132" NewHSCValue 0 Int32 "05/28/26 21:56:12.0720000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 161 "ns=1;i=131
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=131" TotalPulsesReal 28800.0 Float "05/28/26 21:56:12.0760000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 162 "ns=1;i=130
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=130" TotalPulses 28800 Int32 "05/28/26 21:56:12.0760000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 163 "ns=1;i=129
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=129" CalculatedFrameID 0 Int32 "05/28/26 21:56:12.0760000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 164 "ns=1;i=128
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=128" CalculatedFramePosition 0.0 Float "05/28/26 21:56:12.0760000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 165 "ns=1;i=127
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=127" RunDistance 28718 Int32 "05/28/26 21:56:12.0760000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 166 "ns=1;i=126
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=126" REVDistance 28718 Int32 "05/28/26 21:56:12.0760000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 167 "ns=1;i=125
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=125" FWDDistance 82 Int32 "05/28/26 21:56:12.0760000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 168 "ns=1;i=124
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=124" DistancetoStop 0 Int32 "05/28/26 21:56:12.0760000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 169 "ns=1;i=123
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=123" SetSpeed 0 Int16 "05/28/26 21:56:12.0760000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 170 "ns=1;i=122
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=122" CurrentSpeed 0 Int16 "05/28/26 21:56:12.0760000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 171 "ns=1;i=121
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=121" CreepChange 0 Int32 "05/28/26 21:56:12.0990000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 172 "ns=1;i=120
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=120" EncoderEnable false Boolean "05/28/26 21:56:12.0930000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 173 "ns=1;i=119
